Date,Close,Log_Return
2010-01-05,1136.52001953125,0.3110831966759719
2010-01-06,1137.1400146484375,0.05453718878234133
2010-01-07,1141.68994140625,0.3993218354654243
2010-01-08,1144.97998046875,0.2877583075096213
2010-01-11,1146.97998046875,0.174523162858463
2010-01-12,1136.219970703125,-0.942544643894456
2010-01-13,1145.6800537109375,0.8291456333360419
2010-01-14,1148.4599609375,0.2423486421414183
2010-01-15,1136.030029296875,-1.0882126301208588
2010-01-19,1150.22998046875,1.2422151207737095
2010-01-20,1138.0400390625,-1.0654386601861303
2010-01-21,1116.47998046875,-1.9126657272987804
2010-01-22,1091.760009765625,-2.238977963010898
2010-01-25,1096.780029296875,0.4587559053796009
2010-01-26,1092.1700439453125,-0.4212057847785588
2010-01-27,1097.5,0.4868282868611808
2010-01-28,1084.530029296875,-1.188812553427926
2010-01-29,1073.8699951171875,-0.9877799049982582
2010-02-01,1089.18994140625,1.4165305546369655
2010-02-02,1103.3199462890625,1.28895204452028
2010-02-03,1097.280029296875,-0.5489350382538535
2010-02-04,1063.1099853515625,-3.1635856049806907
2010-02-05,1066.18994140625,0.28929303608266027
2010-02-08,1056.739990234375,-0.8902803100374193
2010-02-09,1070.52001953125,1.295584177358637
2010-02-10,1068.1300048828125,-0.22350694280074235
2010-02-11,1078.469970703125,0.9633882335101287
2010-02-12,1075.510009765625,-0.2748366119941131
2010-02-16,1094.8699951171875,1.7840653536261433
2010-02-17,1099.510009765625,0.42290045967103734
2010-02-18,1106.75,0.6563157733795463
2010-02-19,1109.1700439453125,0.21842348635910053
2010-02-22,1108.010009765625,-0.10464051249203224
2010-02-23,1094.5999755859375,-1.21766449451987
2010-02-24,1105.239990234375,0.9673519697189884
2010-02-25,1102.93994140625,-0.20832085528651542
2010-02-26,1104.489990234375,0.14043925568579446
2010-03-01,1115.7099609375,1.0107257423603737
2010-03-02,1118.31005859375,0.23277310028862694
2010-03-03,1118.7900390625,0.04291095214003986
2010-03-04,1122.969970703125,0.37291560795713796
2010-03-05,1138.699951171875,1.3910282801603981
2010-03-08,1138.5,-0.017561143217653643
2010-03-09,1140.449951171875,0.17112720239721047
