Proxy,MSE,MAE,QLIKE,Rank_MSE,Rank_MAE,Rank_QLIKE
GARMAN_KLASS,0.472430962120359,0.5113293390697142,0.9251287168500538,1.0,2.0,2.0
PARKINSON,0.48004294110423673,0.5107300255575742,1.0240930209964967,2.0,1.0,4.0
ABS,0.5028445892578359,0.5415176633500896,0.9572042841302769,3.0,3.0,3.0
YANG_ZHANG,0.5237992263934551,0.5590009987067137,0.8720320890557485,4.0,4.0,1.0
