Date,parkinson,garman_klass,yang_zhang
2010-01-05,0.003694061329899215,0.0038008439568281032,
2010-01-06,0.002768804885754987,0.003164809154007939,
2010-01-07,0.005884750871123792,0.006265818583190525,
2010-01-08,0.00482747036057829,0.005140308159968091,
2010-01-11,0.004046088962443064,0.004731703372978479,0.0049844352055272165
2010-01-12,0.006355168868636878,0.007482639520711391,0.005698672490247568
2010-01-13,0.008012569544067098,0.008260292276601877,0.00669473278352216
2010-01-14,0.0034606349065249395,0.0037859523847204586,0.006314134536072957
2010-01-15,0.008632447642973093,0.010163930373676605,0.0074265725367913685
2010-01-19,0.007712572461142597,0.004780481056403004,0.007408813542479842
2010-01-20,0.009863620136236288,0.011613525206690057,0.0083605182771523
2010-01-21,0.014234719707505193,0.01676010165131516,0.010592780677821215
2010-01-22,0.013783415350948972,0.01622873137870097,0.012727479252092139
2010-01-25,0.005783033145684594,0.006338542916560439,0.012232449278503284
2010-01-26,0.007572971118270017,0.00891649209487134,0.01268734695835284
2010-01-27,0.009025303352224567,0.010146784425658157,0.012406413916049835
2010-01-28,0.011996853732681877,0.014125215823511825,0.01172526965242246
2010-01-29,0.013773360000848734,0.016216892108713046,0.011800110913108687
2010-02-01,0.00860072584691552,0.005023871926957997,0.011672839751259172
2010-02-02,0.009186542353584973,0.007773938283683982,0.011491234170235015
2010-02-03,0.004784415161953967,0.005633218363559599,0.010937856636334215
2010-02-04,0.019169256335709893,0.02257007453383309,0.013472164645339717
2010-02-05,0.012872731769163988,0.015108280419601718,0.013146075845268421
2010-02-08,0.008292811750320291,0.009764039669661205,0.013670207148216937
2010-02-09,0.010791252299144018,0.011144151097024609,0.014211519707890535
2010-02-10,0.008069552810236032,0.009501172355989818,0.014563232944862262
2010-02-11,0.010913871947449338,0.011033219180569823,0.011618442079123584
2010-02-12,0.008326426533633462,0.009803618052438819,0.010474682705681795
2010-02-16,0.00913509019729413,0.005889515674660797,0.010007320771402867
2010-02-17,0.003451747075918583,0.003588453825000426,0.008720096901091962
2010-02-18,0.005859398083219717,0.005354223425507636,0.00797444357974015
